문장 번호,문장,포함된 단어
1487,I’m lucky today because I won first prize.,lucky
1490,I’ll visit you next time.,visit
1491,We enjoy leisure activities on weekends.,leisure
1492,I discovered that he was a liar.,discover
1499,My brother is as slow as a snail.,slow
1503,Look out! You look so dangerous.,danger
1505,Look out! You look so dangerous.,dangerous
1511,Be careful with the scissors.,careful
1514,"Hold on, please sit down while waiting.",wait
1518,Touch your hand and pause in front of the camera.,pause
1519,She's from Canada and there are many countries.,Canada
1520,He is from China and lives there.,China
1521,She is from Japan.,Japan
1522,"I’m from Seoul, Korea.",Korea
1523,Korean is my favorite subject.,Korean
1524,The earth is beautiful when we look.,earth
1525,He's from Brazil.,Brazil
1527,We are from India.,India
1529,The world has become a global village.,world
1532,I traveled abroad last summer.,abroad
1536,The elevator is on your right side downstairs.,downstairs
1537,She is going upstairs to carry books.,upstairs
1538,That ball is far from me.,far
1542,The fire station is big.,fire station
1543,I work at the police station.,police station
1544,My father is a fire fighter.,fire fighter
1545,I’m a police officer and I drive a bus.,police officer
1546,I’m a police officer at my local station.,police
1547,The fire engine is red.,fire engine
1549,We must watch out for the fire.,fire
1550,The soldier was very brave during war.,soldier
1553,Let's walk up this street outside.,street
1554,Walk up this dark old road.,road
1556,Sit down on your seat.,seat
1557,The boy destroyed my blue chair yesterday.,chair
1558,The sofa is black.,sofa
1559,The teacher told me to sit down.,sit
1561,I always lounge at the community center.,lounge
1562,Don't sit on the wet bench.,bench
1563,The dentist is my uncle Mr. Jones.,dentist
1564,Let me examine your teeth and smile.,teeth
1565,That farmer is my grandpa.,farmer
1566,My hometown is a farming village.,farm
1568,They are hairdressers and my dream job.,hairdresser
1570,Let's watch the magic show.,magic
1572,My old car is being repaired.,car
1573,"Cars, buses, and airplanes are vehicles.",vehicle
1574,This motorcycle is fast and my car isn't.,motorcycle
1575,Let's ride bikes.,bike
1576,The truck is blue and stuck.,truck
1577,Ryan's father is a bus driver.,driver
1578,Let's ride bikes.,ride
1590,The manager trains his team to stock shelves.,manage
1591,Let's gather in the room.,gather
1594,I’m waiting for the customer.,customer
1596,It's a big apartment and my dad’s office.,apartment
1597,I’m in the bedroom and I see a ball.,bed
1598,The closet is clean and my sister is there.,closet
1599,I’m in the bedroom.,bedroom
1600,My brother is in the living room.,living room
1601,Let's gather in the room together.,room
1602,There are many floors in the building.,floor
1603,Don’t move until I tell you carry books.,move
1604,Kevin's cabin is cozy when we camp there.,cabin
1605,I’m on the soccer team and love joining clubs.,club
1606,The car is inside the garage.,garage
1607,There is a spot on the pot.,spot
1608,Guess who the guest is at my house.,guest
1609,It's under the desk made of wood.,desk
1611,Close the door because somebody is knocking.,door
1612,The wall is dirty.,wall
1613,Turn right at the second corner.,corner
1614,There’s a big hen on the roof.,roof
1619,I entered the room and thanked you.,enter
1620,Let me introduce my cousin to you.,introduce
1625,My dog is at the gate.,gate
1626,I’m in the bedroom.,in
1627,Let's go outside and play.,outside
1629,Many teenagers experience fast growth during puberty.,growth
1636,The wind was strong yesterday.,wind
1638,I get up early.,early
1639,I get up late.,late
1642,I have some more cake.,more
1647,They watch a fun sad movie.,movie
1648,There are many seats in this theater.,theater
1649,They watch a movie on television daily.,television
1650,Let's play a board game.,game
1651,We sometimes play computer games together.,computer game
1654,It's a new computer and we can use it.,computer
1658,Do you have toy cars at the store?,toy car
1659,Let's go to the toy shop.,toy shop
1660,I have a doll.,doll
1662,I can fly like Spiderman sometimes.,fly
1663,Let's take an airplane and make a model.,airplane
1664,Let's take an airplane to build it.,plane
1665,My uncle is a pilot.,pilot
1666,We need fresh air when it's windy.,air
1667,It's a small airport near the subway station.,airport
1669,Flying a kite is exciting when I fly.,kite
1670,Let’s take a helicopter to fly.,helicopter
1676,I have very good sight.,sight
1678,I have a watch.,watch
1680,I like swimming and going to the sea.,swimming
1681,I like swimming more in the sea.,swim
1682,I'm at the pool with lots of people.,pool
1683,Let's go swimming because I like it.,go swimming
1684,We had fun at the beach.,beach
1685,The butter tastes bitter and smells good.,taste
1692,They are guarding the starting line today.,guard
1693,"Yes, it's mine; those are my shoes.",my
1694,This basketball is yours.,your
1695,This pencil case is his.,his
1699,I like him because he is bad.,him
1700,"Yes, it's mine, and those bags belong to them.",mine
1702,That umbrella is hers and her sister's.,hers
1703,"These bags are theirs, they’re good.",theirs
1704,We like sports and this book is ours.,ours
1710,I like both of them.,both
1712,Tell me about your morning habits daily.,habit
1714,I exercise every day.,every
1717,Let's go to the subway station.,to
1726,Go along this way and talk about it.,this
1729,I can walk and look at cans.,can
1730,The teacher asked whose paintbrush is it.,whose
1734,We are friends and I am tired.,I
1738,I can do anything for you.,any
1740,Football is my favorite sport.,favorite
1743,Let's meet there nice to meet you.,meet
1744,You like cake and curry.,like
1752,The list includes **her** name.,include
1757,I go to church to pray and touch my hand.,pray
1761,I have nothing behind my back.,nothing
1762,I can do anything for you.,anything
1765,We are dancers and she can dance.,dance
1766,We are dancers and she can dance.,dancer
1767,"I'm shaking a shake, touch your leg.",shake
1769,I like skiing and I will go.,ski
1770,I like skiing and hiking in mountains.,skiing
1771,I like lions and I see a zebra.,lion
1772,Look at the tiger near the elephant.,tiger
1773,This goat is actually black.,goat
1774,I like giraffes more than zebras.,giraffe
1775,I like kangaroos.,kangaroo
1776,It's a mouse holding your pencil.,mouse
1777,Look at the elephant with It’s a zebra.,zebra
1778,They see pink dolphins in the ocean.,dolphin
1779,I see the zoo from my house.,zoo
1780,The teddy bear is so big.,bear
1781,Look at the elephant; it contains a zebra.,elephant
1782,The turtle is slow downstairs.,turtle
1783,One snail is slower than the other two.,snail
1785,I like frogs and elephants too.,frog
1786,I don’t like big spiders.,spider
1787,Look at the ants dragging a petal.,ant
1788,Look at the snakes.,snake
1792,Mr. Watson is a kind gentleman.,Mr.
1794,"They are poor, but they have nice pencils.",they
1796,"Sit down, I'm at home waiting.",down
1797,Stand up and walk up this street.,up
1799,Let's switch the switches at home tonight.,on
1801,I won first prize in the contest.,prize
1802,Hard work brings its own special rewards.,reward
1804,I have two tickets and I bought them.,ticket
1807,The paintbrush belongs to my aunt.,paintbrush
1808,My uncle's paintbrush is very old.,paint
1809,I agree with what you think is right.,agree
1811,I agree with you both.,agree with
1812,I think it's really true.,true
1818,Let me examine your teeth. Look at the sky.,examine
1819,I like to study in the library.,study
1820,I reviewed the book before the test.,test
1821,I scanned the boy from top to bottom.,scan
1822,Scientists perform many experiments daily.,experiment
1828,The bus stop is small and big.,bus stop
1830,The train station is on the left side.,train station
1831,The bus is big and I am driving.,bus
1832,I have lunch and let's take the subway.,subway
1834,You can use the elevator on your right side.,elevator
1835,I parked at the local public park.,park
1837,How about going to Buckingham palace after school.,palace
1838,We’ve just passed by the downtown subway.,downtown
1839,There is a map on the wall.,map
1840,We're at the playground.,playground
1841,Let's take a taxi and ride it.,taxi
1842,Let's go to the post office.,post office
1844,She collects stamps and goes to the post office.,stamp
1847,Don’t waste money on useless things.,useless
1850,Don't waste money on useless things like smart phones.,use
1854,I hope so we meet again tomorrow.,hope
1855,I believe in angles because I have friends like you.,believe
1862,I'm going to the library.,library
1865,The office is between green and pink buildings.,office
1867,That is Susan's ruler on the blackboard.,ruler
1868,Look at the sun when it's hot.,sun
1869,It’s sunny in the morning today.,sunny
1872,That light is dark.,light
1873,I'm bad because he is bad.,bad
1875,The boy has a runny nose.,runny
1876,I have a runny nose and a cough.,runny nose
1879,I’m counting numbers and adding six.,count
1886,The house is big.,house
1889,The stove is big and used cooking.,stove
1890,I'm at home when I arrive.,home
1892,"The stairs are old, so be careful.",stairs
1893,The man is going up the old stairs.,stair
1894,They climbed the mountain every day.,climb
1895,My cat is fatter than Nina's cat.,fat
1896,Phil is thinner than Emily.,thin
1903,Here is my gift for you.,gift
1907,The waiter served the starter while I cook.,serve
1908,My goal is to make a goal.,make
1911,Can I get the camera for my funny picture?,picture
1912,That is his camera.,camera
1917,I like to travel alone.,alone
1919,Let's forgive and forget my mistake.,forgive
1922,"I’m sorry, I was bad.",sorry
1926,"Don’t misunderstand me, I am lost.",misunderstand
1928,We want tea because we feel sick.,tea
1929,My uncle wants coffee.,coffee
1930,"First, put the onions in the pot.",pot
1939,He has a talent for acting.,act
